Fecha,Eventos graves,Funcionarios lesionados,Civiles lesionados,Detenidos fuera toque queda,Quebrantamiento toque queda,Prisiones preventivas,Buses incendiados,Vehiculos policiales incendiados,Ataques metro,Ataques cuarteles
19-10-2019,92,156,15,308,0,,17,49,46,2
20-10-2019,103,62,10,716,244,26,7,29,8,12
21-10-2019,350,113,50,982,163,84,0,78,5,5
22-10-2019,255,134,77,2205,438,97,1,86,0,10
23-10-2019,169,121,102,979,592,40,0,67,1,1
24-10-2019,126,58,101,735,327,49,0,50,2,1
25-10-2019,61,22,33,542,173,31,0,42,0,3
26-10-2019,33,38,29,284,100,40,0,31,2,3
27-10-2019,17,27,35,235,0,22,0,13,0,4
28-10-2019,21,14,21,180,0,18,1,10,2,17
29-10-2019,89,131,57,797,0,46,2,72,0,2
30-10-2019,36,68,29,733,0,53,0,16,2,1
31-10-2019,16,23,33,402,0,36,0,17,0,0
01-11-2019,8,7,9,138,0,35,0,4,0,0
02-11-2019,7,6,16,132,0,37,0,5,0,0
03-11-2019,16,10,3,99,0,16,0,4,2,0
04-11-2019,3,4,7,52,0,24,0,2,2,3
05-11-2019,34,58,21,465,0,55,1,27,0,9
06-11-2019,26,53,98,570,0,25,0,22,4,4
07-11-2019,84,68,54,591,0,29,0,41,1,7
08-11-2019,28,59,33,445,0,18,1,12,1,5
09-11-2019,41,80,40,378,0,29,0,29,1,0
10-11-2019,11,27,22,152,0,14,0,5,1,2
11-11-2019,36,8,8,86,0,10,0,7,1,7
12-11-2019,50,59,23,342,0,23,1,25,0,16
13-11-2019,189,347,46,1020,0,93,4,49,3,10
14-11-2019,34,44,62,685,0,66,0,25,0,11
15-11-2019,77,92,30,641,0,61,0,22,1,3
16-11-2019,16,61,26,268,0,54,0,13,0,3
17-11-2019,12,11,5,114,0,25,0,2,0,8
18-11-2019,16,13,7,36,0,40,0,3,3,4
19-11-2019,27,31,13,325,0,52,1,15,1,7
20-11-2019,9,26,10,239,0,72,0,11,1,4
21-11-2019,16,55,11,240,0,52,0,9,3,13
22-11-2019,86,107,21,767,0,104,1,25,6,8
23-11-2019,29,122,18,285,0,47,0,9,0,2
24-11-2019,11,11,5,92,0,47,1,2,0,6
25-11-2019,7,6,1,61,0,45,0,4,5,2
26-11-2019,59,58,5,317,0,,1,12,7,10
27-11-2019,99,109,30,915,0,,3,27,9,4
28-11-2019,31,39,17,378,0,,1,10,4,5
29-11-2019,19,31,21,299,0,,0,6,1,6
30-11-2019,13,57,10,172,0,,0,11,1,6
01-12-2019,5,15,3,37,0,,0,0,1,2
02-12-2019,5,11,5,81,0,,0,1,0,2
03-12-2019,16,12,5,209,0,,0,3,2,3
04-12-2019,6,11,5,97,0,,0,1,0,3
05-12-2019,2,13,5,131,0,,0,2,1,1
06-12-2019,4,17,13,122,0,,0,5,0,2
